features,algorithm,Train_ARI,Train_NMI,Train_Accuracy,Val_Accuracy
rgb,kmeans,0.00960821760355234,0.01038923467910086,0.3735475051264525,0.37733333333333335
rgb,gmm,0.04610274907904802,0.06498595347437355,0.43807245386192756,0.444
rgb,dbscan,0.0,0.0,0.0,0.0
rgb,agglomerative,0.0036659796352845344,0.0032457171279837932,0.3676691729323308,0.33666666666666667
canny,kmeans,0.057255375350872745,0.05994958723788035,0.454066985645933,0.444
canny,gmm,0.021896855328082176,0.0242367683672397,0.40109364319890634,0.394
canny,dbscan,0.0004136770436351338,0.003171185645300485,0.007997265892002734,0.14666666666666667
canny,agglomerative,0.05082503191442436,0.05530188548719014,0.44483937115516065,0.454
sobel,kmeans,0.07684352628312481,0.08413871360829518,0.47477785372522213,0.4706666666666667
sobel,gmm,0.009542964899529887,0.010980264573639407,0.3922077922077922,0.394
sobel,dbscan,0.0,0.0,0.0,0.0
sobel,agglomerative,0.0776834006309982,0.08344726206803905,0.4764183185235817,0.458
laplacian,kmeans,0.019760917035089524,0.024509667293787122,0.4107313738892686,0.416
laplacian,gmm,0.009356897910057208,0.010026461940593622,0.3878332194121668,0.38466666666666666
laplacian,dbscan,0.008972932773970476,0.010081937918276041,0.08578263841421736,0.20466666666666666
laplacian,agglomerative,0.022831745333288134,0.024787070422416006,0.4131237183868763,0.41533333333333333
