features,algorithm,PCA_dim,params,Train_ARI,Train_NMI,Train_Accuracy,Val_Accuracy
rgb,gmm,100,"k=5, cov=full",0.2662581806460703,0.30097646153216867,0.7392344497607656,0.75
rgb,gmm,75,"k=4, cov=full",0.2833794440068633,0.2839648155920593,0.7084073820915926,0.7213333333333334
rgb,gmm,75,"k=5, cov=full",0.2788389389239375,0.29158356822750836,0.7287764866712235,0.7193333333333334
rgb,gmm,100,"k=4, cov=full",0.3112981228857604,0.3175618656013496,0.7172248803827751,0.7166666666666667
rgb,gmm,50,"k=4, cov=full",0.21826736630846455,0.20826246946519156,0.6645933014354067,0.678
rgb,gmm,50,"k=5, cov=full",0.18648930241158046,0.19661047750108593,0.6330827067669172,0.6366666666666667
rgb,gmm,50,"k=3, cov=full",0.21689244916846537,0.20240278137789539,0.626930963773069,0.628
sobel,gmm,50,"k=5, cov=full",0.15583159479570527,0.17530440817590587,0.6073820915926179,0.602
rgb,gmm,75,"k=3, cov=full",0.20106401780894617,0.19590666775812055,0.6057416267942584,0.6
sobel,gmm,50,"k=4, cov=full",0.1618285485066375,0.1675199181203378,0.5840738209159262,0.5886666666666667
sobel,gmm,100,"k=5, cov=full",0.1521243529242549,0.18019996854876272,0.5776486671223513,0.5873333333333334
sobel,gmm,20,"k=4, cov=full",0.14363374653891922,0.1358162554868006,0.5926862611073137,0.582
rgb,gmm,100,"k=3, cov=full",0.1900789353863835,0.19387443089739037,0.5826384142173616,0.576
sobel,gmm,75,"k=4, cov=full",0.1597263065721727,0.17010028821992473,0.5728639781271361,0.5726666666666667
sobel,gmm,20,"k=5, cov=full",0.12042389971108758,0.12002413890945472,0.5776486671223513,0.566
sobel,gmm,100,"k=4, cov=full",0.16340160330041548,0.17369101809898782,0.5654135338345865,0.5626666666666666
sobel,gmm,10,"k=4, cov=full",0.12901189581530714,0.12198607920908645,0.5751196172248804,0.5613333333333334
rgb,gmm,20,"k=5, cov=full",0.11824928379418394,0.14392513052309847,0.5576896787423103,0.5586666666666666
rgb,gmm,75,"k=4, cov=diag",0.10481189032814522,0.1163401438568541,0.5388926862611073,0.5553333333333333
rgb,gmm,75,"k=5, cov=diag",0.0819775727921612,0.11617016272823986,0.5425837320574163,0.5533333333333333
sobel,gmm,10,"k=5, cov=full",0.11494254113322698,0.11351531672621377,0.5712235133287765,0.5513333333333333
sobel,gmm,75,"k=5, cov=full",0.13246105955050033,0.16028506434357528,0.544360902255639,0.548
rgb,gmm,100,"k=5, cov=diag",0.07225543902118423,0.10644218098259577,0.5309637730690362,0.5393333333333333
rgb,gmm,100,"k=4, cov=diag",0.09447832466972629,0.10725646561175067,0.531578947368421,0.5366666666666666
rgb,gmm,20,"k=4, cov=full",0.11534748184974011,0.10691976832275207,0.5328092959671907,0.5346666666666666
rgb,gmm,50,"k=2, cov=full",0.1405626794723771,0.12901903362444375,0.5109364319890636,0.5313333333333333
rgb,gmm,10,"k=5, cov=full",0.10286970570599237,0.09345244567693782,0.5209842788790158,0.5306666666666666
rgb,gmm,75,"k=2, cov=full",0.12448003866203831,0.11345340997356636,0.5,0.5266666666666666
rgb,gmm,20,"k=2, cov=full",0.14286977287504699,0.1305156634677602,0.5086124401913875,0.522
rgb,gmm,50,"k=4, cov=diag",0.08605714386315118,0.10228175521824248,0.5130553656869447,0.5193333333333333
canny,gmm,50,"k=5, cov=full",0.06326431196879723,0.07693160177423715,0.5238550922761449,0.5173333333333333
rgb,gmm,100,"k=2, cov=full",0.127952572283629,0.11700178499321932,0.5007518796992482,0.5146666666666667
rgb,gmm,50,"k=5, cov=diag",0.07967164909402889,0.09204228234237696,0.49958988380041014,0.5113333333333333
canny,gmm,75,"k=5, cov=full",0.06369512966860769,0.08916648291789016,0.5160628844839371,0.508
rgb,gmm,20,"k=3, cov=full",0.1183886263376782,0.11231723472881006,0.5024606971975393,0.5073333333333333
rgb,gmm,10,"k=4, cov=full",0.08200091287011364,0.0816875325138939,0.49835953520164045,0.504
canny,dbscan,10,"eps=3.0, min_samples=5",0.04180647891019404,0.04163953860678917,0.22057416267942584,0.5033333333333333
rgb,gmm,50,"k=2, cov=diag",0.1086193349010619,0.09811657890422654,0.4881066302118934,0.5013333333333333
canny,agglomerative,50,"k=5, linkage=ward",0.06254402180641219,0.07105592944101456,0.5107313738892686,0.5006666666666667
rgb,gmm,20,"k=2, cov=diag",0.1164066754054378,0.10506332085778436,0.49029391660970606,0.5006666666666667
rgb,gmm,20,"k=5, cov=diag",0.060742050939905555,0.08318829334774408,0.48865345181134656,0.5
sobel,agglomerative,20,"k=5, linkage=ward",0.07181645876516093,0.07691174038425007,0.4940533151059467,0.5
canny,gmm,20,"k=5, cov=full",0.06146844291045577,0.06892449199314807,0.5105946684894054,0.49866666666666665
sobel,gmm,10,"k=5, cov=diag",0.05747239480570667,0.06376724926404817,0.49357484620642517,0.498
sobel,agglomerative,100,"k=5, linkage=ward",0.07579753390404358,0.08119600702073745,0.5056732740943267,0.49733333333333335
sobel,agglomerative,10,"k=4, linkage=ward",0.06565225135606355,0.07104251322608866,0.4937799043062201,0.49666666666666665
rgb,gmm,20,"k=4, cov=diag",0.08284399688369687,0.09129453430068953,0.4917293233082707,0.49666666666666665
sobel,agglomerative,100,"k=4, linkage=ward",0.08539662412341623,0.08526869559175514,0.5056732740943267,0.49533333333333335
canny,gmm,50,"k=4, cov=full",0.06231183402503886,0.07450868044952919,0.4956254272043746,0.494
canny,gmm,100,"k=4, cov=full",0.05129938881061951,0.05422909159165395,0.4920027341079973,0.49133333333333334
rgb,gmm,75,"k=2, cov=diag",0.08571101347147125,0.0767767616262418,0.4701298701298701,0.49066666666666664
canny,gmm,10,"k=5, cov=full",0.05379083427585332,0.06144124321170374,0.5004784688995215,0.49066666666666664
sobel,kmeans,10,k=5,0.06721766927930588,0.0787647220453067,0.493984962406015,0.49066666666666664
sobel,kmeans,75,k=5,0.06705340660429195,0.07910129251200353,0.4937799043062201,0.49
sobel,kmeans,10,k=4,0.08047793706415905,0.08545305338546189,0.4992481203007519,0.4886666666666667
sobel,kmeans,20,k=5,0.06764216420114642,0.07901584161856798,0.49473684210526314,0.4886666666666667
sobel,kmeans,75,k=4,0.08080314499101633,0.08558393376846474,0.500956937799043,0.488
sobel,agglomerative,50,"k=4, linkage=ward",0.0717772075028772,0.07990981036564541,0.47498291182501706,0.488
canny,kmeans,10,k=4,0.06444868607209192,0.06668849108712623,0.49726589200273413,0.488
sobel,agglomerative,10,"k=5, linkage=ward",0.06236622640568164,0.07371164166940815,0.4937799043062201,0.48733333333333334
sobel,agglomerative,50,"k=5, linkage=ward",0.06288094997871096,0.07634713701206548,0.47498291182501706,0.48733333333333334
sobel,kmeans,100,k=4,0.08093103311572626,0.08575842701908666,0.5002734107997265,0.4866666666666667
canny,gmm,10,"k=5, cov=diag",0.04568387415275238,0.05142726479362331,0.48462064251537934,0.486
canny,agglomerative,50,"k=4, linkage=ward",0.06302618221390632,0.06432769428657008,0.4935064935064935,0.486
rgb,gmm,50,"k=3, cov=diag",0.0691589370890473,0.09753796930077145,0.48038277511961724,0.48533333333333334
canny,kmeans,20,k=4,0.06302725431198664,0.06624556827126041,0.49357484620642517,0.48533333333333334
canny,gmm,75,"k=4, cov=full",0.05696368215155265,0.07048769768015585,0.48578263841421737,0.48533333333333334
canny,kmeans,75,k=4,0.06523376584110407,0.06733962122680899,0.49904306220095696,0.4846666666666667
canny,kmeans,50,k=4,0.0652761185377144,0.06734065045522566,0.49904306220095696,0.4846666666666667
sobel,kmeans,20,k=4,0.08043252232322301,0.08520652114751767,0.500205058099795,0.4846666666666667
sobel,kmeans,100,k=5,0.06582705722229348,0.07941002229603147,0.48954203691045794,0.484
sobel,agglomerative,10,"k=2, linkage=ward",0.07907100457754608,0.0724504758774987,0.4634313055365687,0.484
canny,gmm,20,"k=4, cov=full",0.061680956199229815,0.07120829470917629,0.48380041011619956,0.484
sobel,kmeans,50,k=5,0.06602502435384565,0.0795357186435321,0.49008885850991113,0.48333333333333334
sobel,agglomerative,50,"k=5, linkage=complete",0.06422048113342832,0.07236556910420841,0.46828434723171564,0.4826666666666667
sobel,gmm,20,"k=3, cov=full",0.05580361158645385,0.05049135508212115,0.47942583732057414,0.482
sobel,agglomerative,50,"k=4, linkage=complete",0.08029399303174045,0.0751670572106924,0.46828434723171564,0.48133333333333334
sobel,agglomerative,10,"k=5, linkage=complete",0.0893688750470973,0.08233051317111101,0.4818865345181135,0.48133333333333334
sobel,agglomerative,10,"k=4, linkage=complete",0.09119090440011268,0.08472315067243158,0.4818865345181135,0.48133333333333334
sobel,agglomerative,10,"k=3, linkage=ward",0.06572915631811538,0.07281448067688347,0.4634313055365687,0.48133333333333334
rgb,gmm,100,"k=2, cov=diag",0.07176204483462063,0.06382339622099953,0.45570745044429256,0.4806666666666667
canny,gmm,10,"k=4, cov=full",0.05444836823183997,0.0600821483665489,0.47881066302118935,0.48
rgb,gmm,10,"k=2, cov=full",0.10455966539346097,0.09607603015065769,0.4738209159261791,0.48
sobel,agglomerative,50,"k=3, linkage=complete",0.08231963151478071,0.07679401171093697,0.46828434723171564,0.48
sobel,kmeans,1,k=5,0.055333635546385485,0.07602692792572399,0.47737525632262473,0.478
rgb,gmm,20,"k=3, cov=diag",0.10005122609431012,0.0970568975161933,0.4787423103212577,0.478
sobel,gmm,1,"k=5, cov=diag",0.05603981701461543,0.07604069287172471,0.47723855092276146,0.478
sobel,gmm,1,"k=5, cov=full",0.05603981701461543,0.07604069287172471,0.47723855092276146,0.478
sobel,agglomerative,100,"k=2, linkage=ward",0.08484182349358269,0.0769802524918443,0.469377990430622,0.47733333333333333
sobel,agglomerative,10,"k=3, linkage=complete",0.09121540898633626,0.08393844642814198,0.47963089542036913,0.47733333333333333
sobel,gmm,20,"k=5, cov=diag",0.05307713445204968,0.061179233644564006,0.4818865345181135,0.47733333333333333
sobel,agglomerative,75,"k=2, linkage=ward",0.0788418261578302,0.07177118087543731,0.4645933014354067,0.47733333333333333
sobel,agglomerative,75,"k=3, linkage=ward",0.06738948949423122,0.0762425795085869,0.4645933014354067,0.4766666666666667
sobel,kmeans,100,k=2,0.07838023781667332,0.08105910806257416,0.46568694463431304,0.476
sobel,kmeans,75,k=2,0.07854894507854543,0.08116394152317992,0.46582365003417636,0.476
sobel,kmeans,50,k=2,0.07813465706714132,0.08088843927083567,0.4654818865345181,0.476
sobel,agglomerative,1,"k=3, linkage=average",0.0733279568918654,0.079824669867915,0.46486671223513326,0.476
sobel,kmeans,10,k=2,0.0775746615632662,0.0804161420715934,0.4650034176349966,0.476
sobel,kmeans,20,k=2,0.07804053533645726,0.08088359928205734,0.46541353383458645,0.47533333333333333
canny,gmm,100,"k=5, cov=full",0.05098889273087251,0.07369904674544074,0.48345864661654137,0.4746666666666667
sobel,agglomerative,100,"k=3, linkage=complete",0.03982299300416141,0.05704490684224459,0.4304853041695147,0.4746666666666667
sobel,gmm,1,"k=2, cov=diag",0.07437389479456362,0.07998629138038973,0.46254272043745726,0.474
sobel,kmeans,1,k=2,0.07841955529322929,0.08070255194590349,0.46568694463431304,0.474
sobel,gmm,1,"k=2, cov=full",0.07437389479456362,0.07998629138038973,0.46254272043745726,0.474
sobel,agglomerative,100,"k=5, linkage=complete",0.03999742814824239,0.059150891348150866,0.4304853041695147,0.474
sobel,agglomerative,100,"k=4, linkage=complete",0.03999912886263494,0.059091618624384605,0.4304853041695147,0.47333333333333333
sobel,gmm,1,"k=3, cov=diag",0.07701318783992533,0.08404161779685172,0.47580314422419684,0.47333333333333333
sobel,gmm,1,"k=3, cov=full",0.07701318783992533,0.08404161779685172,0.47580314422419684,0.47333333333333333
sobel,agglomerative,1,"k=5, linkage=ward",0.059554807507667874,0.07532120137640909,0.4771701982228298,0.4726666666666667
sobel,agglomerative,75,"k=5, linkage=ward",0.060623067680413645,0.06859724319105447,0.4645933014354067,0.4713333333333333
sobel,kmeans,10,k=3,0.07643302501901808,0.08397493639353451,0.47423103212576895,0.4713333333333333
sobel,agglomerative,75,"k=4, linkage=ward",0.06788611064742005,0.07163981287140665,0.4645933014354067,0.4713333333333333
sobel,kmeans,100,k=3,0.07684352628312481,0.08413871360829518,0.47477785372522213,0.4706666666666667
laplacian,gmm,10,"k=5, cov=full",0.03451564207777717,0.03992125247023854,0.45994531784005466,0.4706666666666667
sobel,kmeans,50,k=3,0.0768149486488994,0.08438190197940382,0.47436773752563227,0.4706666666666667
sobel,agglomerative,20,"k=5, linkage=complete",0.038600882371964726,0.060615641617767994,0.4359535201640465,0.47
sobel,kmeans,75,k=3,0.07684163090553266,0.08413969166887428,0.47477785372522213,0.47
canny,kmeans,20,k=5,0.052451959247942236,0.06021904596128016,0.4807928913192071,0.47
canny,kmeans,75,k=5,0.05230610036719357,0.06063016949094862,0.48202323991797674,0.47
sobel,kmeans,20,k=3,0.0768550993347831,0.0836544624275203,0.4750512645249487,0.47
sobel,agglomerative,1,"k=4, linkage=complete",0.05098683599854235,0.07466995711868739,0.45133287764866714,0.4693333333333333
sobel,kmeans,1,k=3,0.07592197332455897,0.08435985558210511,0.47361585782638416,0.4693333333333333
sobel,gmm,75,"k=5, cov=diag",0.03588344520911321,0.04507214539458722,0.45105946684894055,0.4693333333333333
rgb,gmm,10,"k=5, cov=diag",0.05703276716994692,0.06300393416748173,0.47204374572795627,0.4693333333333333
canny,kmeans,50,k=5,0.05228989025466187,0.0606601142268317,0.48215994531784007,0.4693333333333333
sobel,agglomerative,50,"k=3, linkage=ward",0.06605335271592559,0.08140142231253836,0.45782638414217364,0.4686666666666667
canny,kmeans,10,k=5,0.05245225269833604,0.06005585432709718,0.47887901572112096,0.4686666666666667
sobel,agglomerative,1,"k=2, linkage=ward",0.06402826841688383,0.07619626106259587,0.45365686944634315,0.4686666666666667
sobel,agglomerative,20,"k=3, linkage=ward",0.0690871828842863,0.07470418339365513,0.4611073137388927,0.468
sobel,agglomerative,20,"k=4, linkage=complete",0.04621683860757856,0.06336266533424395,0.4359535201640465,0.468
sobel,agglomerative,20,"k=4, linkage=ward",0.06353573400534052,0.07544631342563983,0.4611073137388927,0.468
